,0
185,"we didn't actually use these guys we just got a bid from them. they spent a few minutes looking at  the job and said it's  $12,000.
 we spent the day digging the lineup ourselves and paid another plumber 5 hundred dollars to repair it"
186,"the great yelp reviews led me to take my marshall combo to mtroniks for repair.  unfortunately i did not have a positive experience like everybody else.  after 5 weeks and no status updates, i gave up and picked up the amp.  still looking for an amp tech."
187,this place is straight up dishonest and shady. i called to get an estimate to replace a shower handle. i was given a shocking quote of $ 1500.00. the estimate said i needed major repairs and i needed to cut a hole in my walls. the truth i got the repairs for $ 100.00 from someone who is not out to rip you off !!!!!!
188,"this happened several months ago. half of the vents on the first floor were not opening. they came over, diagnosed the problem correctly, loosened the valve on the motor that wasnt opening, and all was fine. they did say if it happened again, i would need to replace the motor. about 4 weeks later, it happened again. they came out and said in addition to the vent motor, i would need to replace some other valve thing that would cost over $1200.00 since it was time consuming and they had to replace all the refrigerant. well i called another company who did a full diagnostic and all they said i needed was to replace the failed valve motor and not that other much more expensive repair. long story short,my system worked great all summer. no problem at all. lesson to be learned: always get a second opinion if a company wants to charge you a lot of money on a repair."
189,very disappointed at how cheap the repair came out. the new front bumper won't stay clipped down :(
190,"contacted them about a console repair and they kept inturrupting me constantly to deal with other customers.  attitude was condescending an arrogant.  the person i spoke to also flat out lied to me.  this is not the way to run a business.  a really shady operation. oh and one more thing, the ""melissa b."" review above should either be removed or classifed as advertising as it was posted by one of their employees."
191,"we have used several professional venders over the past two years for various projects and this was the worst experience yet, not even close. a two day project took almost 4 months, three different ""handymen"", one complete redo and the project still needs attention (caulking, sanding, painting) to actually be considered complete. poor choice of material, bad cuts and uneven surfaces led to the complete ""redo"" in which still is not finished. while most of the project is now level, the work is far from professional. wooden handrails were never caulked or sanded, so we advised our children, and guests to keep clear to avoid splinters. we are totally missing a wooden support under a section of railing while a different section remains completely unpainted. mind you it does have the original coat of paint but not the newly quoted layer to match. ultimately, this experience has been unacceptable and disappointing. 

we are absolutely unsatisfied and do not recommend hands4hire to anyone."
192,this place is a joke dont buy furniture here it is super cheap and extreamly expensive. i picked up a bed frame that was supposed to be solid wood however the pressbord fell apart 3 days after install and they refuse to do anything about it it was delevired on the 1st and now i have to wait till the 30th for there repair company to come out and try and fix it. so i have a 1700$ piece of crap that i can't sleep on. jiant joke of a company
193,"zero rating. 
we have a home warranty with american home shield company who sent out this company to repair our dryer. they came out four times to try to fix. said it was the motor and said they replaced it. came out after that several times and ended up saying it was the lint that was causing the squeaking sound and noise when our lint filter/hose is perfectly clean. so we paid $100.00 for nothing. tech is angry and just walks out without saying anything and will not communicate with you. 
do not use this company."
194,they charged $300 and my air conditioner was still not repaired. i would not recommend them to anyone. i'll never use them again. if i could have given them a 0 rati
195,"played the course on 6/23/18 and i was looking forward to a good round on a golf course that gcu purchased and completely renovated over 1 year ago.  i have to be honest, don't waste your money here until the fix the course, it was in terrible shape.  fairways had lots of repair areas and greens had lots of barren spots and areas even though the greens appear to be rolled the condition was unacceptable for this time of year.  as a shareholder i was disappointed at the hundreds of thousands of dollars that was spent to revive this course only to have it in this condition."
196,avoid at all costs!  i called danny and scheduled repairs on 3 separate occasions.  each and every time he flaked on me and did not even bother to let me or my tenants know.  it was a complete waste of my time in coordinating repairs between him and my tenants.  i gave him the benefit of the doubt each time but by the 3rd time he didn't even bother to respond to me after confirming repair date and time the previous week.
197,repair and sales are terrible. would not recommend them to anyone. ignore issues until completely broken or out of warranty.
198,"i would never have them do a job. we had them repair our water softener and water heater 3 years ago and clean out all outlets, very expensive.. our water heater just went out and they could not replace for 2-days with a bunch of running around and still cost $675 with a warranty. manager said he would come by and make sure everything is good , still waiting a month later. not a good company!!!"
199,"i have used this company in the past and it was fine, albeit expensive. this time, they sent me a melvin.  the faucets in both of my bathrooms were leaking. i was charged $700 (!) to ""repair"" the faucets, but i was told that they will need to be repaired again in the not-so-distant future. once the work was done and i paid the bill, i was told not to use the showers for 24 hours. after that period, i used the master bath shower and realized that the faucets were put on to where both handles go turn the same way (as opposed to the correct way where the right handle turns right to turn on the water and the left handle turns left). when i finished, i turned off the water and the handles were all cockeyed, not even close to being straight. i won't ever give this company my money again. they are definitely off my list of preferred vendors for both my house and my investment properties."
200,i'm so angry at this company. six years ago i had to buy an air conditioner unit from them. they sold me the wrong type i think knowingly because i am a female and still six years later i'm having issues. and i was a new home owner and i had called them two times after that and have gotten melvins those other times as well. do not believe them. do not use them. they are liars. they are charlatans. they will screw you over every chance they can get it i swear because every time i have used them they have ruined everything they have so-called fixed because i have had to call other companies to fix what they had supposedly repaired or installed.
201,"i am pretty upset that i waited 1.5 hours to pick up my tickets for tonight's show. another show-goer just happened to look on the laugh factory's facebook page which said that the club was closed for repairs.  there were no signs on the door or anything indicating that the establishment was  closed. poor business.  too bad, i was really looking forward to the show."
202,they are closed for renovations. a little further down the road is another with a drive through at a gas station
203,was ripped of by this company wasn't able to repair my fridge took 660.00 in cash changed piece by piece and still wanted more left fridge the way it was not repaired said there was nothing he was prepared to do kept the cash 660.00 avoid this rip off no going legal to teach him a lesson he wont forget easy  cant and will never recommend this company to anybody
204,"i learned something that shocked me - morris jenkins repair techs make commissions on any parts/new systems they sell! i absolutely couldn't believe that. that simply invites unethical behavior.
end of story. i first posted this on facebook and had a large number of responses of example potential ripoffs by mj (thankfully, in most cases, my facebook friends requested a second recommendation and learned they needed much less work than mj tried to up-sell to them!) i then posted it to nextdoor (14k people!) and received tons of negative examples. i can't figure out how they are still in business? i guess because of their dumb commercials?"
205,"do not buy a house here. go to mountains edge or somewhere else. as a home-owner here in rhodes ranch, i wish i was not. should've moved to paseos, vistas, or somewhere else. pay over $100.00+ in monthly hoa fee to be treated like a complete animal by the security guards here. yes, being harassed by them for doing nothing wrong. get rhodes security guards calling you profanity doing nothing wrong. yeah, i'm sure whoever reads my yelp review will might who i am. especially if you live inside rhodes ranch too. i'm one of the few who runs on the road around the neighborhood. or even road cycling in and out of the neighborhood to red rock, etc...  well, i guess the people working in security department isn't paid enough money? some of them are nice. or i'd say a lot. but some of them sure give rhodes ranch a complete bad name. 

also, if you purchased your home before the builder changed to century communities, then i guess you're screwed. if you're trying to receive any original information for the interior, exterior, etc... of your home, then you won't be able to. so if you're trying to do paint touch-ups or any other interior repairs, then good luck. it seems that hoa department can't retrieve that information anymore. i also thought that conflicted with cc&r rules too. correct me if i'm wrong. century communities who's the builder now can't pull that information. since corrupt jim rhodes sold the neighborhood, the information is all gone. 

get constant people speeding up and down the sub-division streets. and, i'm saying well, well above the speed limit. with that being said, security department or hoa doesn't take into account of what may be done to improve this. instead they'd just rather add more speed bumps or sit on the road of the main road tracking speeds. or that, wait until a child gets hit. i've reporting some of the plate numbers to the security too. 

on the positive side, neighbors seem to be nice. gym is nice. just wish it was a bit larger. especially with how large rhodes ranch has got. on a second note, do not leave your garage door open here. break-ins here may not be as high as mountains edge, but things will get stolen fast. do yourself a favor, want to know more about the original builder of rhodes ranch. well go to http://www.saveredrock.com. save yourself some time. good day."
206,"it's the start of summer and my air conditioning isn't working in part of my house. was told i needed new ducting and a thermostat to fix the problem. great when can you start? ""we can't help you till after summer."" there is 4 months of heat coming and you guys can't help me till after summer? paid $80 to have them tell me i need repairs but they are too busy and can't make them. they have time to inspect your unit and charge you for that but not enough time to actually make any of the necessary repairs to get my air conditioning working.

if you plan on getting your air repaired try another company that will actually have time to make the repairs they tell you are needed."
207,"find another builder if you think let stepper build a house for you.
they put a damaged bathtub in my brand new house and said they 're gonna repair it easily. they did a horrible repair job on the bathtub i could still see the crack through the touch up !!! and now i called the construction manager to complain about it he didn't answer also i found  water leaking  in the basement they didn't  even know where it from and why.. and no explanation so far.
how unbelievably they work!!!
and don't trust realtors in stepper show home they say they're stepper ' realtor and yours too but in a different situation they turn away never on your side."
208,quotes me $100 to replace a molly bolt & screw then gets smart when i state it's a single screw.  well s@rew you!  ever wonder why handymen gets a bad wrap?  this guy is your answer.
209,"repaired a brake line my chevy s-10.  four years later, i find that the repair could not pass safety inspection in another state.  i'd call it shoddy sub-standard work."
210,"do not! i repeat, do not use these people. they do not know what they are doing. instead of doing a proper repair, they rewired my unit and it went from a two stage unit to a one stage. i had another company come out to check their work because my units didn't sound right and they found their repairs to fault my and inadequate. dont do it!"
211,"played siena this past sunday.  i've always enjoyed playing here.  when i made the tee time, i specifically asked if the course was playable since this is overseeding and aeration season. the attendant said they never closed for overseeding, but course was in good shape and playable.  not so much.  almost every fairway had spots that should have been marked as ground under repair as they were graded and muddy w/virtually no grass on many spots. we were charged $65 for the round. it's unconscionable that they could charge that for a course in such bad shape. i understand the need for revenue, but this was ridiculous. at the very least, they should have been a cut rate of around $35.  not sure i'll be returning since i feel i was duped."
212,"incredibly rude and unprofessional. they might provide adequate garage door repair but the lack of consideration, respect and professionalism are not worth it."
213,ripoff artists! beware! charge 10x the actual cost! do your homework! quoted $800-900 for repair. i researched the part. turns out it was $137 for the part. you do the math!
214,"i had certified install a new havoc system in the summer.  due to the age of my house the furnace is installed in the attic.  not only did their crews leave behind left over installation materials in my attic, but due to a faulty installation the furnace was leaking condensation into the ceiling of the room below, damaging the drywall and my furnishings.  certified came out and repaired the issue with the furnace and dried out the room, but after weeks of follow up the company was only willing to send out one of their employees to paint over the damaged ceiling drywall in hopes that would fix the issue (no mention of reimbursement for my damaged possessions).  i'll be looking into small claims court but in reality i'll probably be paying for the repairs myself."
215,"what a dump. every cheer competition is here and it's worse and worse every time. their ac is ""broken"" when it's 115 degrees outside. so now children are borderline passing out. they should start doing these a a school that is in better condition and not in a dumpy area. if the school cannot get a repair person out they need to hand out water to the kids."
216,"i had been going to golden glow for almost a year when in mid january i found a note on the door saying that they were closed for renovations and would reopen in 2 weeks.  well, that was over 2 months ago and they still haven't opened.  have they closed permanently?  i had recently purchased a package so they owe me money if that's the case!  anyone happen to know if they are going to reopen????"
217,saturday evening before a sun's game. hanny's: oh six bar seats are shut down so a guy can do some repair work. really? i don't want to sit at a table. bye
218,"so glad i never stopped into this place i called to set up appointment and the guy who answered was so rude off the bat. when i call a business i introduce myself by saying my name, this guy refused and just asked why i'm calling bmw repair, never introduced himself or anything. i will not do business with a place like this. seems low class for high end products."
219,i took my roomba here to be repaired because it was spinning in circles. they said they would fix if it was under $100 or they would call and tell me how much it would be to repair. when i went to pick it up it was $150 and it's still spinning in circles. they will not return emails/calls so that was a waste. take your business somewhere else.
220,"repair man was expecting large repair before even seeing it, and they totally dropped the ball on scheduling the repair. two weeks later and no part or repair scheduled. frustrating to deal with."
221,"true view is a very difficult company to work with. i needed windows repaired on the house i was flipping. to date, the work is still not complete. so far they have come to the house seven times, the next visit will be eight. plain and simple i need all the windows repaired for new a buyer. the closing was three weeks away, calling them they said it takes 7-10 days to order materials. the house closed on 4-10-2019. each time i called and asked for assistance i got the same reply, it takes 7-10 days to order windows. then i got an email stating the windows would be installed on april 4th, well when the technician came out it was only to measure a window. they want you to work within there policy and procedures; your needs and requests are secondary. save yourself the grief and headaches go to another company."
222,avoid at all costs! last year my home warranty company sent these guys out to evaluate a light switch. their guy tried selling me a new water conditioner instead. he never removed the switch but stated it was not covered under our home warranty. i had to fight with my warranty company to get them to return and re-evaluate. the manager cancelled the appt. and never notified me. i waited for the 4 hr window and called. they refused to come out. i again fought with my warranty company to have a second opinion which they reluctantly did. allstate electric came out and said the switch was covered and replaced it. this year i again had an issue which i put in a home warranty trouble call. unfortunately ideal grabbed the problem and i had to set up an appointment. after waiting two days in a row for them to come out and not coming i called my home warranty and asked that allstate electric come out. they did and gave a 2 hour window vs a 4 hr window. they actually showed up before the appointment and repaired the issue. if you have a warranty do not place your trouble call online. call them and ask for allstate.
223,"extremely rude staff. completely unwilling to help and only responded with sarcasm. i asked their repair guy if they fixed virtual boys, and he responded with ""this isn't 1992, so you're out of luck."""
224,"since i had our new a.c. unit installed i have had to replace the thermostat and a fan in the new a.c. unit. i'm not too impressed with hendels. they where quick to come out slow to repair.. almost like ""they have my money and they will take time to repair."" as they failed to keep 3 repair appointments due to another job that took too long. not impressed with them anymore.. do your research before making a big purchase here."
225,"updated, 7/31: i was contacted by two men and a truck recently, and a reimbursement of my washer repair bill was proposed. i accepted, and received a check of $150 from the company a few days ago. i take this as an acceptance of accountability, though protracted, and have moved on."
226,"walked in needing a repair and fill, tech was crazy aggressive with filing and left my fingers covered in dried acrylic and gel top coat i had to peel it all off, no gel base was used so the color peeled off on the same day, all for $40. never a"
227,"they finally sent a company to look at the furniture, the guy that came told me that he is only here to take picture and rc willey will make the decision.  i got a call from rc willey a few days later and i was told  they will not repair because it was not a problem with the leather but with the make of the furniture.  they also told me that this was based on the evaluation of the guy that came and took the pictures .  i was told lie after lie and i am not satisfied with the lies they told me over and over.  buyer be ware !!!! do not purchase their extended warranty, rc willey will not honor it."
228,"this company charged us twice the amount quoted and had all our belongings hostage in their vans because they couldn't finish the job in the one day promised. they literally packed a box with 12 sheets of tissue paper and half used roll of tape, they used wardrobe boxes, poorly taped, for nearly everything. the worst thing is that they broke my baby grand piano and wouldn't repair it. i have filed complaints with the arizona attorney office and the bbb. steer clear of this company."
229,"this company is the biggest ripoff i have ever encountered in my 54 years of working with heating and air repair companies. i called mj for regular seasonal maintenance. they quoted me more than $4000 for a repairs stating i would die if i turned on my unit. i knew this was not accurate so i called a reputable repair man and found out there was absolutely nothing wrong with my unit, in fact he said it was in amazingly good shape. he actually showed me where everything quoted by mj was a complete lie including needing new exhaust blower motor which was clearly working perfectly. i'm fact, every part on the mj quote was working perfectly and in very good shape. i later found out these repairmen work on commission. all they want to do is sell you a new unit. mr jenkins you should be ashamed of yourself and perhaps investigated. i wonder how many people have been ripped off from these rip off artists. i am so grateful i got a second opinion. run from this company."
230,"they came right away to do the work and did an ok job. still had the same problems with the doors, said they couldn't repair those problems.but they did re-key them. 

i called someone else and the did more work and repaired the door problems that a-1 said they couldn't."
231,"we have a contract with morris jenkins and won't be renewing. they get 2 stars because they are prompt. our garbage disposal was leaking so we called mj. they wanted to charge us $485 ($200 for disposal + $285 for labor). we declined and purchased a new one ourselves and had our handyman to put it in.  saved almost $300. we're scheduled for a regular a/c maintenance next week.  i'm quite sure they'll ""find"" something wrong and want to charge hundreds of dollars. each time they come out, they try selling us something. it is quite obvious that their techs double as salespersons."
232,"a bunch of lying ba*****ds. do yourself a favor and stay away. all i got from them is lies, aggravation and an unrepaired washer."
233,"the absolute worst company i've ever worked with.  first they got caught using the wrong size pipe to repair plumbing.  then they took months to complete the job with workers not showing up over and over again.  to do the job, they tore up the concrete in driveway (later learned they tore up way more than they needed to), then after they fixed the pipes, they refused to repair the concrete, leaving giant, unsafe, unsightly holes."
234,"horrible company. they fail to answer calls in a timely manner, staff is rude, and they failed to properly fix my a.c. it broke down a,year after the,repair due to poor workmanship leaving ne,and my family without a.c. in august. don't waste your time or money."
235,"two years ago they came when i needed them because my air was dead, they fixed a dead ""cap"" but then told me there was a leak and i'd need a new system for $6k.  i had a second opinion done by another company (integrity air, certified by rosie on the house) and he said the freon was probably low from years of a/c techs hooking up their equipment for my annual inspections and a little leaked out each time.  he said he couldn't find any evidence of a leak.  this was after i had paid over $300 for precision to do a ""leak test"" which consisted of going up in the attic for about 4 minutes and making some beeping sounds....at that rate those tests are apparently $4500 per hour!.  i'll never use precision again.

update 2 years later... the system that these con-artists said needed replacing is still working great.

update 3 years later...  the system that 'needed to be replaced' is still working fine and has not had any repairs done.  still mad that i got conned into paying $300 for their ""leak test""."
236,"beware of this guy his name is jim he ran a company called tnp gate repair into the ground. multiple bad reviews online under tnp gate repair do a google search on it you will see how bad he really is. don't get scammed by his new company. 
i posted some of the reviews from tnp gate. don't get screwed by him!!! thank you"
237,"i have used this plumber several times in the past and have been very satisfied.  this week i had a totally different experience.

mr. rooter diagnosed the plumbing problem and gave me a repair estimate of $720.  i had replaced the equipment a year earlier for a cost of $150 plus installation of $200 so the $720 (no equipment replacement) seemed way out of line.  they wouldn't document the estimate when i refused to approve the job.  i called another plumber.  the repair was the replacement of a two foot hose and cost me $168.  i think mr. rooter was way out of line on determining the problem and estimating the cost.

buyer beware."
238,"avoid at all costs!  stay away - completely unprofessional.  do yourself a favor and hire a legitimate professional company that uses competent, trained in the real-world (not crooks or 2 bit repairmen) to do your work.
beyond unprofessional.  and no common sense."
239,"do not hire this contractor.  i worked with vasile, owner.  found him on homeadvisor.com.  what a nightmare.  ended up costing me time and money and still had to find someone else to repair the mess he created."
240,spectrum contractors dug on my property and damaged a water line. they are refusing to pay for the damages even after i have supplied them with the documents showing that their contractors were the only people digging over the line where the damage occurred. they are trying to stick us with the $2400 repair bill! do not use these people.
241,"i purchased my 2014 navigator here in december 2013. after a few months, the left lower lift gate tail light failed. they replaced the bulb under warranty. several months latter, the bulb again failed and was wet. they claimed they would replace the light assembly with a new light  assembly. ok, it worked when i picked it up but just yesterday it failed again. when i removed the light assembly, the nuts were loose. then i saw how they repaired it. they forced a new bub in and sealed the area with silicone sealer. that bulb was installed on a angle as it melted some plastic---photo1 shows the damage. photo 2 shows my repair. why didn't they just install the new light assembly as stated and written up? i would not want to pay msrp of $325 + labor for this repair. i bet they never thought i would know how to fix the problem myself."
242,"i used parker and sons for a repair to my plumbing. they do very professional work, but at exorbitant prices!"
243,we were very disappointed in the quality of work performed by moseley last summer for a home renovation. he may be able to do little jobs around the house but lacks the  knowledge and skills for big renovations. do not recommend.
244,"so had a new plumber come today. mind you bliss quoted us between 3,000 and 4,500 for the repair when we initially contacted them and then would never respond again. now i know why.

when a competent plumber showed up the problem was a stuck float. total cost, $150. avoid bliss at all costs as they will try to rip you off!"
245,i found desert investment advisors to be slow and at times unresponsive when it came to agreed upon repairs and fixes. they have made numerous promises but in several cases have taken months to follow through - if at all. you might want to check them and their ceo kirk piersma out at the arizona department of real estate website.
246,"the owner is a jerk. his wife doesn't have much sense either. 
the receptionist called and had to reschedule my appointment due to the owner having ""something come up"". when i did get to meet with him, he was rude and short with me. 
as far as my repair getting done, i was told it could be 8 to 10 weeks! i have an active roof leak and need it fixed before anymore damage is done to my interior. 
needless to say, i ended up calling another company who has already done the work."
247,"had my component here for over two months and they still couldn't figure out what was wrong with it, then charged me $45 dollars. clueless bunch of people with used outdated junk on the shelves. the only reason that i went to this nasty part of town was because my manufacturer recommended them. 
turns out my problem was only a circuit board. my neighbor's son repaired it in five minutes....."
248,update: they still didnt resolve the issue and the truck was voluntarily surrendered due to high cost of repairs. stay away.
249,"never use this company!
simply called for a quote on a simple door repair and was turned down because owner/manager did not think it was worth his time??

use vortex and save yourself the headache!"
250,"took my sprinter van for repair, and routine maintenance.  found out when it broke down 1000 miles away that it wasn't safe to drive, and preventative items were never done, ie air filter etc."
251,unsure if i would use them again.  ended up resolving the problem myself after the staff left to another call because he didn't have the part that was needed to repair the issue.
252,my ac stopped cooling and they came right out but estimated repairs very high. so i opted to really pay up and put in a complete new system $7k. they installed in two days but the quality of work was terrible. they had a quality control guy come out a week later and clean up the mess. if i would not have climbed in the attic we would not have known. but the high utilities would have pointed to the poor install. i will never use them again.
253,"closed for renovations.

though they didn't bother to tell me that when i called and made an appt. see review for their ballantyne location."
254,"the 10 year warranty is not a real thing. we had our house painted in august and have been trying to get touch ups done ever since. at first, the owner (brian brown) would respond to emails - promising to do the repairs himself. but after his father was supposedly hospitalized, we've had zero response to any calls or emails. everything goes to voicemail. are they still in business? such an expensive job with so many false guarantees on their work."
255,"just wanted to upsell.  ac was making noise before he left.  never had that noise before.  asked what it was.  he said he didn't do it!  i said you're a repairman can't you fix it.  be said he hadn't done it.  told him, funny that it happened while he was here.

he went to thermostat.   told me he reset it and left.  when i looked at thermostat, he had turned it off!"
256,"currently pursuing a lawsuit against capri. everything you've read in the other reviews is true,
we had to live with our air conditioning units leaking water for over five weeks before a repair was made. i'm obviously not alone in my experience in this slum.  run don't walk from this place."
257,the coating failed on the aluminum within a week after application. i contacted them to ask what can be done to repair it. they will not respond to my calls or email. i would not recommend.
258,had an outfit dryclean they damage the outfit by losing a button and did not repair it very unsatisfied nine dollars to dryclean an outfit and they didn't want to take responsibility for reference never take anything to this drycleaners ever
259,"proper installation would have taken 20 minutes longer and cost $2 in materials, now it's a $600 repair job.

owner doesn't return calls.

i won't trust another home to universal stone of charlotte. @univstone"
260,"gmv is closed for 'renovations.  to reopen mid december"".  it is jan 20th and still not reopened."
261,"they came out on a repair, took hours to try to fix it, and charged a ridiculous sum of money. i'm not impressed whatsoever..."
262,"awful place, brought in a churping bird clock that quit working, and, they could not repair it at all, they did not bother. i took it to all about time in phoenix they are the best."
263,now i have to drop them to a 1 star. in dealing with them and trying to get repairs made i had to make a complaint to the better business bureau. the bbb has not gotten a response to the negotiation from garden grove.
264,"had my laminate floor installed by amateurs !  it took them 8 days. and now that i have moved the furniture, i see gaps between the floor and the baseboard. this will be the second time the field sup will come out and make repairs. the first was shortly after the install. now it's 4 months later. good thing this install thru home depot is guaranteed for a year. find an installer who has experience."
265,"theives
 this place had not closed 
they just changed their name to firebird leasing and continue to rip people off. they are thieves.  making up fake repairs to rip you off the deposit money they owe you. do not rent from them.
they are negative star rating."
266,"north tower a bit run down. clogged sink, mold growth on the ceiling, non smoking room smells of smoke, bed shows obvious signs of wear. needs updates asap.  will not stay here again till repairs are made."
267,it's been 4 years since i had a $75 repair done by another company and my air conditioner is still working like a charm!
268,"no wings anymore. went there 20 times before the renovation for the best wings i. pittsburgh. not anymore.

fish taco was tasty but one slab if fish on one taco. not quite what i expected"
269,"it's difficult to reach a live person at this place.  i've called a few times and always get a voicemail.  probably not a good sign.  if i can't reach someone now, how difficult would it be to reach someone in the future for repair or warranty issues.

hopefully, you will have better success.  i'll calling someone else for my shades."
270,"this company will take your money and run!  they are not honest about the installation process, the installer will probably be late, and after the installation you will leave with a list of things you need to ""fix.""  examples of this would be painting broken trim board, fill in grout, coordinate with a stucco repair (don't worry, you have to paint yourself), and deal with a warranty company to deal with any issues after the installation.  they will take your hard earned money and run with it; pass you along to the next person that can deal with you!  save your stress and money!  go anywhere else!"
271,"when they came to give me an estimate i told them four times to give me a picture of what was wrong and needed to be repaired.  they chose to ignore my request.  therefore, i do not know if they did a good job or not, since i never saw what needed to be repaired or the repair that was done.  sometime later, on three occasions, i saw pieces of tile falling on the ground.  i contacted the owner and told him about this.  i asked him what his warranty was.  he said he only guaranteed the work that was done.  since i never knew what was done i was out of luck. the last time i contacted the owner he told me he would call me later that day to see what i was talking about.  he never came.  obviously, he didn't treat me with any respect.  i find his behavior extremely appalling."
272,this gym advertises a free 5day pass. or gym was going to have some renovation done and we have contemplated changing gyms. so we thought it was a great time to give it a try.  first day we showed up  they were hesitant to let us use their pass. second day they said they were not letting our gym members in for free but would for $25. . is that false advertising or what. too bad. had things going for it but we will never join at this point. bad business bad karma.
273,although the park did not seem to be that old it had a run down feel to it. several of the exhibits need repair. the whole park in general needs a little tlc. the several of the habitats were small and did not simulate their natural habitat. i felt sadden when i looked at the animals. i was also surprised at the cost. not only were we charged $34 per person it did not include any of the rides. unfortunately i can not recommend this park nor will we be returning.
274,"the cell repair co. made wrong diagnosis on my cell. replaced parts in error.  when i asked to get compensations on their error, the secretary refused and didn't refer it to manager. trying to avoid the responsibility. i even didn't have a chance to talk to their manager. they refused to return me money."
275,"not only do they not call and see if you are satisfied after you purchase something from them, they do not honor the warranty of the work that they do.  steer clear of this place, plus they are very expensive for repairs!!!"
276,"burger flavour was good. however, the gluten free bun costs extra and always falls apart in your hands. it's impossible to eat without a knife and fork
hero needs to solve this problem.

closed for renovation aug 11 2017"
277,"repair took longer than it should have because of plumber being over booked and transportation issues, paid large amount for repair and replacement and have to keep trying to get plumber to cash check, says he has done so but money still hasn't come out after more than two weeks, have concerns about that also."
278,"do not use!  i dealt with judy thaxton to make minor repairs for some small pitted areas on my granite countertop. i received a minimum quote of $250 per hour. the repair guy was here about 50 minutes. i waited a couple hours to let the acrylic dry to check the work. i immediately let judy know that the pitted areas were not completely filled. i was told that they wouldn't be (why i don't know) and that her guy filled more than was what was quoted, which is not true but even if it was, i was paying by the hour, $250. then she told me she gave me a break on the cost, her normal minimum charge is $500 per hour!  needless to say, the repair work was shoddy but i guess i should be happy i only paid $250 not $500 for a bad job."
279,"what a freakin horrible experience. it was the middle of august and my ac broke on a wednesday night. i was under the impression that george brazil was a good company so i called them first. the repair guy that came out was friendly and helpful, but i wasn't really planning on getting it repaired. it is too old, turns out the repair guy doesn't handle new installs, i have to pay him $90 for coming out and then wait for a sales guy to come out.
luckily the sales guy came out the same day, this was thursday. well this sales guy was a huge jerk. he comes in and spends a couple minutes looking around and then tells me that i need to replace all of my ducts. i don't and i know that. it was pretty clear that he was here to sell me new ducts and that was his job. i told him i didn't want the duct work and he got pissed and stormed out of my house. i was in shock, he didn't even want to sell me the ac without the new ducts, which by the way made it a $10,000 plus job. well, i'm not and idiot and i'm not going to get bullied into wasting money, so i let him leave. in the middle of august, i was obviously committed to using them and the shady sales person was using that to force me to get new ducts. luckily, my family knows a trustworthy ac guy named bob over at aireco and he came out right away and got me set up with a better ac unit installed for $5400. 
the problem is, the day i wasted with george brazil meant that bob didn't come out until friday and it was too late for him to get it done that week, i had to wait till monday. so i went 5 days with no ac. of course, it saved us thousands so it was worth it.
the moral of the story is, make sure you know someone trustworthy before your ac breaks. you don't want to be stuck dealing with someone like these guys. of course bob can charge way less than these guys. he's not spending a ton on advertising, in fact he doesn't advertise, he only need word of mouth. and he doesn't employ a bunch of shady sales people. well, to be honest, you can't blame the salesperson. i'm sure he has to be shady cause he works for a shady company."
280,"their ""guarantee"" is not honored. i am buying a house where they repaired the ac for a price tag of $3800 for the seller less than 6 months ago. it failed the home inspection and they will not honor their supposed guarantee by even looking at it. if you had honored your own guarantee you would have gained me as a customer, never mind the former owner. as is, i will find someone else to follow up on the ac and you lose a potential customer and presumably the former owner will not be happy to have spent $3800 for nothing but you can take that up with him. i will not be giving you a chance for my business in the future."
281,"these guys are absolutely useless.

i sent my samsung galaxy s8 in for repair because samsung canada told me to do so. they did not fix my issue and now samsung canada is telling me to send it to them again. if they couldn't diagnose the issue and fix it the first time, why would it be a great idea to send it to them again. this is just asking for failure.

do not go here. absolute trash."
282,"i used to be a fan but their new hours prevent me from using them.  additionally, they've been shrinking my clothes and when i pay them for repairs they don't get done at all let alone properly.  suffice to say, i'm searching for a new dry cleaner close to my home."
283,"i just called this company. the minute i said ""repair"" he said they do not work with broken glass and ended the call. i guess they only replace non-broken windows."
284,"dump the dump.  in 2015 i purchased a large, rather expensive, natuzzi sectional from the dump.  at the time, i expressed concerns about the stitching as it appeared it may come loose and ravel fairly easily.  it was already a little loose  in some areas.  the sales associate assured us that if we purchased the extended warranty that it would be covered and a non-issue should the problem arise.  he assured us that if it couldn't be repaired it would be replaced, per their policy.  so sure enough, 3 years later, the unraveling of the threading is at the point that it is in need of repair or replacement.  we contacted the third-party warranty company and filed our claim.  they don't make it easy.  completed paperwork on-line, took pictures, mailed everything in, they take their time reviewing/responding, only to find out that it isn't covered under warranty; repair or replacement.  why would i purchase a warranty for something specifically not covered by the warranty?  the dump, at this point, doesn't stand behind their word and i won't be returning."
