,0
889,"when a repair place actively promotes the cheapest solution instead of defaulting to the most expensive one, then you have found a winner and this place is a winner. instead of a $500+ repair, a simple $80 fix we recommended and actually works.

awesome place is awesome!"
890,i needed a plumber to repair a damaged pipe stat! i called and he was able to get out within about an hour or so which was amazing! his repair was done efficiently and at a very reasonable cost. i will definitely be calling this company again in the future for all my plumbing needs!
891,steve is one of the hardest working guys i've met! we had a large renovation project they helped us complete and overall we are very happy with the work. there were a few things that were not finished correctly by one of his plumbers and steve came out himself to fix the issue promptly. definitely would use them again!
892,"had a good experience.
door was stuck and tried the usual methods of self repair......fail.
was very surprised that the tech not only had a quick resolution but found me a  web coupon......score !"
893,"handy dan showed up on time, was very knowledgable and courteous.  upon looking at the three plumbing issues at hand, he recommended measures that i take in order to get the items repaired.  now, i am not an expert by any means on home repairs, so he took the time to explain everything to me, which was enlightening and refreshing.  a true pleasure to work with, i would recommend this place of business to anyone with home repair issues or anything of the sort... they do anything from painting and electrical to audio visual!  go handy dan!"
894,"tactical restoration recently completed a repair to our ceiling. they did an amazing job. alex who did the estimate and scheduling of repairs was great to work with. they had to come in an fix/complete a job which another restoration company screwed up. crew that worked on our job were very professional, competent and a pleasure to work with. i highly recommend tactical restoration for your repair needs!"
895,"he is my hero! able to finally remove this diy bunk bed that has been glued and screwed to the wall by our house' previous owner. it was a challenge for him but did a great job. he tried his best not to damage the wall a lot for easier repairs. thanks again jason! 

tips: he responds quick to messages. he confirms the appointment. he is reliable."
896,after months of being ignored by his staff mr jr ruelas took ownership of my claim and settled it. he even apologized for the delay but lived up to his promise to settle fairly and quickly. once my truck is repaired i will continue to use the warner road location frequently.
897,"i had my f150 dipped, light bars installed and hid's done by fineline customworks and it all turned out as good as could be expected. 

after that experience i did my lifted excursion and it turned out just as good. we had to do some rust repair and priming before so it was a lot of work."
898,"jay has done a great job for me on many occasions.  i've had him do inspections on many possible investment purchases.  his info has aided greatly in making the best return on our dollars and saved me about $15,000 in a six month period of time!

these guys have done simple repairs for me on three different properties and have secured themselves a place to do work on my own home.   i highly recommend. 

currently working on a repair which will include a drywall ceiling interior patch job.  i'm excited to get this done before christmas! 

good job guys!"
899,sean did an outstanding job he is now my ho to guy for all installation's and repairs around my house. quality work and super personable. look no further
900,"after weeks of research and quotes for replacing my roof, one company stood out for integrity, reputation, quality and fair pricing. stell roofing.

the owner, mike and his crew have exceeded my expectations - special thanks to crew-lead, junior. not only does the roof look fantastic, junior and his crew took the initiative to ensure gutters were cleaned (not part of the job) and meticulously lining the shingles to flow evenly in line with two different high points of the roof - it's hard to explain but it looks amazing.

in two days, the roof was complete. not a trace was left behind to show they were there. in fact, my yard was actually a little cleaner, so thanks guys.

mike and the team brought me up on the roof for the final inspection and showed me the quality work. i see now why these guys are a consistently 5-star rated company - quality work at a competitive price. coupled with a respectful and thoughtful crew, i would recommend them to anyone looking for roof replacement or repair. 5-star experience!"
901,"we moved into our house this fall and knew we needed a repair guy to check out the roof since the previous owners did not maintain the property as needed.  found the repair guys on yelp but also by recommendation.  scheduled an appointment on a tuesday afternoon and the repair guys came out the following morning.
steve and his assistant were extremely professional and pleasant explaining the roof details and what needed to be done. coming from the north east where roofs are very different, his explanations and pictures were very helpful to us.
he even told us the repairs will outlast the remaining life of the roof... good news for us!  we were happy to get an honest roofer and not a typical salesman trying to sell us on needing a new roof!  will definitely recommend to others!"
902,"jarrod and his crew did a great job on the installation of our gutters. they were recommended by a roofer that had done some recent repairs and they did not disappoint. the installation was very done very quickly despite having to climb a high roof line in high june heat! 
the cost was very reasonable and the finished product blends in very well with the existing roof. 

can't recommend them enoughq"
903,"this company is great! they were able to come out for a quote the day i called them and were very professional (measured and everything right then). somehow, magically, they were able to fit our fairly large painting (with some excellent drywall repair) project in at the last minute to help us get our house on the market. i'm extremely happy with the quality of the work and i am never painting another room myself again. they are number one on my list to paint my new house!"
904,"the crew at dignity pluming is great! we had a hot water leak in our slab. they were quick to send someone out, to diagnose the problem and got us scheduled for the repair asap! scott and his crew were courteous and quick. from start to finish, they were thorough and efficient. we are extremely satisfied with the work done by dignity plumbing!"
905,"cannot thank danny enough. this company works with sears and they are very professional. from the lady that booked my appointment to danny the repairman. they were courteous and answered all of my questions, and here's the best part... he fixed my door for free, advised and educated me. the competitor wanted to charge me $600 ish. absolutly would recommend this company to my grandmother! great job!!! you have a customer for life. thank you for being honest."
906,"i went there for some rust repairs. their estimate was very reasonable and consistent with two other estimates that i had already. the difference with lvcc was great customer relations.  patrick was easy going to talk to, very helpful and made good suggestions. no hard sell. 
and they delivered...the repair work was well done, met the estimated cost and was finished on time."
907,"johnny and his partner, also johnny repaired my a/c yesterday. using ""old school old fashioned "" knowledge and expertise, they figured out the problem with systematic logic. they replaced the broken worn out contact device, checked my unit for any leaking of freon and generally made sure everything was alright. best part of all, the bill was very fair and reasonable. these guys are good! 5stars."
908,"the free inspection by nicholas was appreciated. he gave me good news after the storm. my roof didn't need repaired.  

he also repaired my friends roof in gilbert  previously and did an excellent job. there were no leaks after the rain yesterday.

he arrived on time and i felt safe."
909,very professional. honest folks. they gave us an estimate and the repair was less!! we highly recommend them.
910,"i am so impressed with jnk. not only did they do a truly awesome job, they squeezed me in before our party so that the repairs and updates to my yard would be done. the results were stunning and i cannot express my appreciation enough.

i have ideas on making future updates and you can be sure i will only use jnk landscaping. you should too!"
911,"fantastic work!  movers had really banged up some of my favorite furniture, and after being depressed for a couple of weeks, i found nathan and gave him a call based on the great reviews i read online.  i couldn't be happier with the results.  nathan even reduced the quote when he saw that the work would not be as extensive as he thought based on pictures i sent.  very honest guy and does great work.  if you need any type of wood repair, call nathan he is great."
912,"very happy with this business. professional, courteous and completed the necessary installation/repair on time as quoted. i recommend cw ac&h with complete confidence."
913,"easy to work with, and very responsive and punctual.  he came out on a weekend and was able to accommodate our busy schedule.  he repaired a large hole in our ceiling following a plumbing leak, and it's like it never happened.  he made sure to put up plastic sheeting to contain the mess and cleaned up afterward which was much appreciated.  thanks!"
914,"best place for guitars in mississauga. staff are friendly and knowledgeable. best of all, they never seem to try to charge you for more than they should when they do repairs."
915,"last night in the storm some of our ridge shingles were blown off.  had no idea who to call and it just so happens my neighbors were having a roof replaced on their duplex. i walked over and talked to ""sergio"" and he said he would call his boss ""mike"" and they repaired my 3 shingles at no charge.  can you believe it?????  i called ""mike"" to thank him and what a gentleman. i could tell how he really appreciates his customers.  his crew was probably the most efficient and professional i have seen in a long time. they had the roof completely done in 2 days.  their clean up was amazing. never knew they had been there. living in sun city we run across a lot of people trying to take advantage of us, but not this one.  i would definitely recommend this roofing company."
916,"sol barreto was wonderful working with us on our issues! he explained everything thoroughly and repaired what we needed to repair. he was honest and up front on pricing as well.
he arrived on time and called before.
the company has a valued employee there!! 
i will request sol from now on for my home and our rental properties. he is a great guy.


plus my dog loved him. 

two thumbs up!"
917,"new west managed my property over the last 9 years. they have been the utmost professionals. they have done an outstanding job vetting new tenants, providing multiple quotes for repairs, and are always available if questions arise. 

i recently sold my property, through new west and it was an excellent experience. my broker, stephen, was prompt, thorough and extremely reliable through the whole process. as i live out of state, this can be a stressful process. 

whether as property managers or realtors, i would highly recommend new west. i had a wonderful experience."
918,"oron and his crew completed a window replacement/stucco repair project on my home. they were subbed by andersen. it took a few days because of the large amount of work that had to be done, and it came out great. oron was attentive throughout the project to ensure my satisfaction, held to his schedule, and made sure it was done to his requirements."
919,"calling ideal energy and getting a home-energy audit was one of the best decisions i've ever made! i was intimidated by the process and assumed it would be complicated and confusing but the people here made it very easy to understand and gave us many options. our home was leaking so much energy!
the guys that did the repairs were very polite and impressive, they were in our home nearly all day in and out of the attic and in our vent and there wasn't a speck of dust or fingerprint left by them! 

will be working with them in the future for more energy efficiency improvements!"
920,"jason and his assistant provided a free 2nd opinion after #1 plumbing heating and ac tried to charge me as much as $1,400 for an ac repair, they said everything was perfect and the part that the other company said needed replacing was perfect!  finally a honest ac repair and maint company.  they also install new units.  very progressional and sharp team that are clearly honest!  before you allow another ac repair place rip you off for hundreds to thousands give them a chance!"
921,"a pittsburgh landmark and something to be proud of. recently reopened after 4 years of renovation, it's a great spot for a walk, casual date, whatever. i'm sure a picnic on the ledge of the fountain with feet dipped in the cool refreshing water would make a great day out in the city. many visits to come!"
922,"you don't need to look any further -- you found the perfect guy for the job. andrew is delightful, professional, and totally reasonable from a price perspective (a rare quality in scottsdale). i called andrew on account of a shower fixture issue -- he was kind enough to re-arrange his schedule so he could pop by the place within a few hours. he diagnosed the problem very quickly and gave me two options: 1) he could describe for me how to fix the problem myself and therefore save money, or 2) he could do the repair himself right there. i voted for option #2 -- i was just glad to get the issue fixed right away. andrew is 100% up front, he is extremely knowledgeable about his field, and yes you bet i will be calling him for future future plumbing issues in the future. he's the real deal."
923,auston was great. fixed my ipad lickety split! fast repair and updates. convenient location and everyone who works there was very helpful also.
924,"i have never written a review, good or bad, but i had to write this one because sean was outstanding. he did a great job overall and a great attitude. would definitely recommend to anybody that needed a knowledgable, attentive, pay attention to detail handyman."
925,after getting a few different estimates i went with meineke off boulder hwy in henderson to get the ac fixed on my sport trac.  cheryl did everything right to get my business. ac works great and they did it in a very timely manor. they will get more business from me on repairs i can't do myself.
926,great bodywork! exceeded my expectations. charlie was very friendly professional and was able to easily explain the process and what was needed to repair my bmw
927,i brought my new trailer in camping world las vegas for some warranty work . the tech john miller came to help me with trying to find out why my trailer wasn't working correctly . john was very courteous and helpful . his knowledge of camping world products is very extensive . he helped in getting my trailer in to be repaired. camping world has a very good employee in john miller
928,"what a guy!! within hours of contacting him, jimmy came out, inspected my roof and gave me a full rundown of what needed to be done - nothing. 

yes, he told me there was nothing urgent to be done. the one repair that triggered the call could easily be fixed by myself and he even explained to me how.
i quote: you have a great looking roof, that is in great condition, you don't need to worry about a thing at this moment.

best of all, he was so honest about it. hence he is now on the very top of my roofing needs list."
929,"i've used the team at az contracting on several of my properties, from full renovations to minor repairs.  they have always been on time and under budget.  highly recommend pace and the team!"
930,"what a pleasure to work with this company!  they were extremely professional regarding scheduling, reminders and promptness.  our repairman  was friendly and extremely helpful.  highly recommend!"
931,"i got to arc electrical through yelp quotes. prompt reply, and luckily, i caught alex between jobs in my area. he stopped over before his next job since mine was a simple repair. first impression: professional, polite, and efficient. basically, it took less than 20 minutes to replace. i would definitely arc again, and highly recommend arc to everybody!"
932,"ron the technician was very quick and efficient with his repair to our fridge, thanks! i would absolutely recommend this company."
933,"this is the company you can trust .
i got wrong estimate from different company about my dishwasher repair which wanted replace many parts .
when ivan came and recheck my dishwasher why it wasn't draining , he took his time and just cleaned it and made it work without replacing parts .
honest company .
thank you ! ivan is the best !"
934,"newly renovated theaters with leather recliners and meals/kitchen coming. been going here for about 2 years and have seen the transformation. we have gone because the prices are comparable, not very crowded and digital projection, and not far from the house. now that the renovations are rolling i'm excited to see if when it's finished."
935,"the beginning part of our move was a little rough. one of the movers was apologetic and respectful. our furniture did sustain some damage. the company sent out a repair man who was accompanied by brian who works for the company. brian totally saved our experience! awesome, respectful and treated our bedroom set as if it was his own. big kudos and thanks to him! one amazing man."
936,"i recently worked with the repair guys. after speaking with ryan, he agreed to have his team look at our roofing issue. he said his team would fit us into their very busy schedule. we were out of town. they agreed to work on our roof without us being there. they talked with us along their process & sent us before/after pictures. they were very polite on each call with explicit instructions on their progress. we came home & found our property exactly as we left it. we found a hand written ""thank you"" note in our mailbox. they cleaned up after themselves. we would highly recommend them to anyone having roofing issues."
937,"home pride inspections was on time, professional, through and pleasant.  ryan didn't miss a thing - he was in the garage, on the roof, outside the house and inside the house.  he checked all the plumbing fixtures, checked the hvac equipment, checked the electrical panel and receptacles.  took photos and video of every possible thing.  very impressed with the photos of the roof tiles that needed repair.  it was well over 100 degrees and he just proceeded as if it was cool and pleasant in the hot sun.  gave us a complete verbal report when he was finished along with the written report (with pictures and video) e-mailed that afternoon.  ryan was very competent and it is very comforting to the condition of the home we are buying.  highly recommend this business!"
938,when we went to paint our eves we found damaged fascia and damaged decking.  trm came out right away.  gave a very fair quote and delivered on the repair quickly.  gave honest opinion on the rest of the roof and gave me options.  very fair and honest and fast.  easy communication and came out exactly as scheduled.  thanks trm!
939,"i got my nikon d3100 repaired here 2 weeks ago.  it took weeks for them to fix a shutter malfunction.  yes it was a long time.  it works perfectly now.

what an experenced photographer knows is that when a camera repair needs a part, the repair company is at the mercy of the manufacturer, unless they use cheap chinese parts.  and manufacturers are notoriously often out-of-stock.  classy companies won't throw the manufacturer under the bus to cover their behinds, which this company aparently does not do.  

further, it's funny that most of the negative reviews here are 1-reviewers (i.e. competiters trashing them with fake reviews).   how does a memory board ""break""?  lol.  keepin' it classy!

cris is friendly, fast and most importantly honest.  sorry if you don't like your quote or they tell you not to waste your money on a repair.  higly suggest for phoenix photographers."
940,"we had painters of the valley paint the exterior of our home.  they were professional, courteous, considerate of us and our property.  if they had a question about something they ask and just did not make decisions on their own.  we had a large amount of stucco patch. after the first coat they had us inspect with them to find any additional cracks and repaired them before the second coat.  they did an outstanding job and let our home in perfect condition.  daniel and his crew did a 5 star job."
941,"very quick response to our problem 
they knew exactly what was needed to donthe pump repair
we would highly recommend them to everyone"
942,came quick and was able to fix. would recommend for repairs. sadly need a new unit but he at least got it temporarily working.
943,"i contracted through lowes for an installation project and i had a couple other odd jobs. the representative who called me to schedule was very friendly and professional. on the day of the installation, i got a call an hour before the scheduled two-hour window to confirm the work so he could make sure he had correct parts. he got here a half hour earlier than scheduled, was very professional, knowledgeable and even did a repair on one of the jobs rather than a replacement. who does that? my experience has been that things are replaced and not repaired, which usually mean a bigger fee and he did an excellent clean up in the room where he worked on the larger project. i recommend around the clock plumbing."
944,"randall's does excellent work!

i have had prints done, had a broken frame repaired, and done multiple large custom framing projects at randall's.  everything has come out awesome.  friendly and knowledgable staff.

highly recommended!"
945,great experience! sara is fantastic! i had two ipads repaired and she did a wonderful job. her communication throughout the process was much appreciated... i always knew what to expect. highly recommend this place!
946,we needed to have our irrigation system repaired. they were extremely thorough and even found an underground leak that the previous owners had concealed from us. this will save us tons of money on our water bill. i highly recommend them for great work at a very competitive price. we will use them again for landscaping work in the future.
947,"marlon & his brother lucio were so helpful with our small roof repair! they were able to come do the work before our house closing deadline, when another company we had lined up canceled on us last minute.
lucio even went above and beyond by fixing a few dislodged tiles that he found. highly recommend!"
948,"i had some water damaged wood from the roof.  neil came out and gave me an estimate.  his estimate was significantly less than anyone else.
so i scheduled him to do the work.  he is honest, very professional,  on time and did an awesome job!  the charges were exactly as quoted. 
the wood needed to be replaced and neil actually told me if i wanted to paint it before he installs it (that way i didn't have to paint on a ladder above my head)  he would allow me to do so.  he also checked for cracked tiles on the roof and replaced the ones that were cracked without any extra charges. i highly recommend neil for any large or small roofing repairs. you will be very happy you hire him!!"
949,high quality work. very fast and honest about the job. i use stalling for refrigeration repair work all of the time. i wouldn't recommend anyone else.
950,"i got three estimates to replace our double garage door & install an opener on single garage door. the other two estimates were high, it seemed they added extra things on the estimate to make more $. when triple b came out, roderick looked for ways to save $ for me.  i scheduled the installation & everything went smooth. i am happy with the outcome. it looks & works great!  i recommend triple b to everyone who needs to replace or repair their garage doors."
951,"chris and his crew are top notch!  we just purchased a home that needed quite a bit of work.....from a full re-paint and color change, to drywall repair, drywall installation, texture, and caulking around all windows.  chris was prompt with coming out for an estimate, gave a great price, and his crew worked quickly and with attention to detail.  we will definitely be using them again in the future. i highly recommend stills construction!!"
952,"swift was quick and professional. michael, the technician, was friendly and helpful. he diagnosed the problem right away and was able to complete the repairs within the hour. i highly recommend swift garage door of las vegas. thank you, michael!"
953,great experience!!! when they told me that some one was going to be at my home between 7-10 am i was apprehensive. other companies were late or did not show. not las vegas irrigation repair; they knocked on my door right at 7:00. the job was completed and my system works fine.
954,"steve and jason came to repair my roof.  if i could i would gave them more then 5 star.
first they call before they get here to let me know they was on there way.  they was here on time (5:15 am).steve keep me informed with pictures and gave me the quoted.  they did not try to up sell me , they gave a quote and stayed with that amount.  you two guys are the very best.
i will keep you name and if i ever need roof work again i will call you guys.  thanks.;;"
955,"due to the recent freezing temperatures, our solar system developed a leak.  totally my fault for not draining the solar system.  i called raphael, and he sent eddie out the same day to perform the repairs and drain the system.  thank you raphael!!"
956,"the staff are friendly & courteous. they got off to a rough start, but things are better now. would love to see the men's locker room kept cleaner. and repairs done sooner. my aqua instructor (lorre) is awesome."
957,"very responsive and willing to do a small repair at a good price.   i had some broken roof tiles and a flashing issue. marlon is tech-savvy, easy to communicate with, and sent me pictures of the repairs while i was away.  i recommend these guys!"
958,"where to start, nothing but professionalism from this company. we originally signed up at the home show last year and have been nothing but satisfied. this year unfortunately the a/c went out and with the cost of repairs it would have been cheaper to buy a new one. instead of leaving us with no a/c for the hot weekend donnie did what he could do to make the a/c last, even said that he would call just incase the a/c needed a quick charge to hold us over. the a/c was supposed to be installed on a day that i was going to have to take off work, only to be given the great news that the a/c was in and someone was able to come down two days earlier and no vacation day having to be used. thank you for being great, honest, and professional. we now have an a/c company that we trust."
959,"fixed a classic gibson head stock repair me. even matched the white, which is very difficult to do. thanks guys!"
960,"i had a very little, but important job that i needed done.  ryan was extremely diligent in coming over to inspect and get my job squeezed in between other bigger, probably more lucrative jobs.  ryan treated my job as if i was the only client, with the largest job, and i am greatly appreciative of the attention he paid to making sure everything was completed timely, within budget and most importantly, it was repaired to the highest standard.  i would recommend ryan and the repair guys to anyone who needs a roofing company!"
961,"anthony was awesome!! the whole team over there know what they're doing! i was lost and needed someone to guide me on what to do with repairs and anthony not only explained in great detail about my armada, but worked with me on my budget!! my husband and i go here a lot and this is why!! thanks big o team!!"
962,"yes, ditto to previous post.
ken is honest in his diagonosis and repair estimates.
quality of work is consistant.
would recommend!
i've been going to ken for over 20+ years!"
963,"justin was clear, upfront, and stayed late to repair our dryer.  we'll happily call him again when needed."
964,we brought a damaged stained glass lampshade to roseanne for repair. what a superb and professional repair. the finished lamp came out looking far better than the one we brought her. thanks so much!
965,"this place is a gem. i've been coming here for years before the renovation to expand seating. it's the best thai i've had outside of thailand, a close 2nd in cleveland is banana blossom in hingetown.

the curries are all excellent as well as the pad thai spicy style! their hot teas are also delightful, the ginger is just ginger root, sugar and water.. i appreciate the simplicity of it."
966,"their work is excellent! and they're pretty darn good about having it ready as promised. one annoyingly nice thing they've done is at times refuse to let me pay for a very very minor repair. 

i'm not recommending them because of that but i thought you should know they strive to go above and beyond for their customers"
967,"southwest garage doors was recommended by a friend and the recommendation was greatly appreciated. dan was prompt, friendly, and professional. our garage door lift had been seen and ""fixed"" by other repairmen but it wasn't until dan came that it was determined we needed a new lift. i wish we would have went with southwest first, it would have saved a lot of time and money. thanks dan for all your help!"
968,"i highly recommend this company for home inspections. will was very thorough in his inspection and provided a very detailed report that included pictures of what needed repairs. will was able to explain everything in terms that i could understand as well as ways these could be fixed. if you are looking for a company that will provide you with a very detailed inspection so that you don't end up with any surprises after purchasing, then this is the company to hire."
969,we hired rob to repair drywall and seal our front door.  he did a good job and seems like a really hard worker.  we would hire him again for other projects.
970,"one of the most respectful handyman i have met.   waiting for estimate.  jason is trustworthy, which is rare these days.   glad i found jason.  a dependable handyman is necessity if you're a homeowner with a bad hip replacement."
971,if you live in vegas do not agree to any of your ac repair till you get their second opinion.not once but twice  my home ac unit broke down and on both occasions the other ac guys gave me estimated repair of in excess of 10k.on both occasion my repair bill was under 1k.need less to say very ethical and honest ac repair company.
972,"closed for renovations, but i have to assign stars to my review so i'll be optimistic that their 4 star average was earned."
973,"due to recommendations on the community website in verrado i contacted ed and terri of clear view home inspections llc, as we were coming close to our 1 year move in date. not only is this company highly professional, the first thing ed found out is that we had a gas leak at our water heater. i called our meritage home rep who sent the company who installed the water heater to repair the leak within 15 minutes. kudos to meritage..!! we paid $335.00 for our home inspection, which lasted 3 1/2 hours, 2560 sq ft home, but finding the gas leak may have saved our lives let alone the house..!! there were no major problems in our home once the inspection was completed. the inspection gave us a piece of mind that our home was safe and well built.
i highly recommend clear view home inspections."
974,"johnny saved the day for me after our nest thermostat installation didn't go according to plan. after an hour of trying to troubleshoot, i called johnny and he walked me through it within 5 minutes. this is the 3rd time i've used him for ac tune up & repair so i highly recommend."
975,"non-emergency repairs done next day!  warren repaired 3 items like lightning....very personable, takes time to explain what we need to do.  kristie scheduling calls is super friendly, quickly assessed our needs.  all in all a very positive experience with kendall.  highly recommend.  will have them as out go to plumbing company!"
976,these guys are great. they've repaired my old truck when it needs it.  it's old and nickle and diming me to death. will return when needed. they are very dilagent and they don't price gouge like others in the area. ole
977,used this firm to paint three rooms and two baths. they used sherwin williams on the walls and mautz white on the ceilings. also had two drywall repairs one was extensive. all seems ok at this writing. i must add that the star of the job was the dude on stilts which negated ladders for him.
978,"i've been coming here for the past 5 years or so (before the recent renovation) for my american spirit cigarettes and find the prices to be the most reasonable.  employees adam and hannah take a genuine interest in customer satisfaction.  there is a diverse selection of items at this location (cigarettes, cigars, specialty items, etc.) and something here for everyone!"
979,chris is the most honest plumber i have ever had the opportunity to work with. he is quick to respond and he is someone i truly trust will give me an honest estimate and repair. i highly recommend him!
980,"i had an irrigation leak under my driveway.
i called hummingbird and they offered to come by and give me a free estimate. angel arrived promptly on time for the aplointment and gave me a very fair estimate. i ok'ed the repairs and he started immediately and had completed the repair within an hour.
angel was prompt, knowledgeable, friendly, and repectful.
i recommend hummingbird landscaping!"
981,i've been renting a home through them for over a year now and i'm very satisfied with how easy it is to schedule repairs with them. the propertymeld system is working great for this and has improved response time. their website makes it easy to pay the rent each month.
982,"what can i say about this company, dean and his crew are amazing. trustworthy, ethical, and an amazing work ethic. dean truly knows what he's doing and is able to help the client with economical solutions.
major stucco repairs were needed, a new patio on the rear of the house built, a complete custom paint job and the list goes on and on! dean was able to do everything in a timely manner with really amazing results. went from the worst looking home on the block to the best looking house on the block! do not hesitate to hire this company!"
983,"for the last few years, my wife and i were thinking of stopping by the wildlife world zoo & aquarium, and today with us both having a day off, we made this a reality.  then again, after initially seeing mixed reviews on yelp, we skeptical about going, but we are very glad we did.  it was certainly a fun way to spend a day.

first, the zoo is huge!  there are so many different areas from the aquarium, dragonworld, safari park, adventure land, and so much more.  we arrived around 12:30 pm on a thursday afternoon knowing we had 5-6 hours to enjoy the park.  a bus of children left as we were arriving.  at that point, it seemed like we had the park to ourselves (along with a few other couples and families).  almost all animals were literally feet away from us.  we also could feed many of the animals for only 50 cents per handful of feed.  i fed the giraffes!!!  some fun notes about the animals:  the parrots really spoke and sounded like people, there is an adorable alpaca at the petting zoo, and they have three white rhinos that are endangered.  initially, we were worried about the small enclosures that the animals are in; while some still seem to be quite small, we were relieved to know that some are much larger than they appeared.  

there are some great rides from rides that will get you from one point to another (ie. train, tram, and sky ride) and others that are just fun (swing ride, zip line, scooter ride, log flume ride, and others).  the train and tram actually go through some of the animal enclosures!  only three rides were open today.  we chose not to ride any, in part to everything having a cost associated with it, but then again, rides at most zoos have a cost, too.  what we did go to (that was included in the cost of admission) were the shows:  the wildlife encounters show and the sea lion show at the aquarium.  both were great!  similar to the animals in general, almost every animal we met were literally feet away from us.  some animals (like the peacocks) just randomly wander around the park.  

also, unlike other zoos, it is very expensive to go to this zoo.  it's $39.99 + tax per adult and $19.99 + tax per child (3-12).  children 2 & under are free.  this rate includes both the zoo and aquarium.  on the other hand, there are plenty of coupons and discounts including group rates, aaa discount, and weekly senior discount.  we used the entertainment book (http://entertainment.com), which had a bogo coupon for both the wildlife world zoo and another bogo coupon for the dillons bbq restaurant onsite (value of up to $15).  we did learn that the bogo for the zoo in the physical entertainment book was only valued at $24 while the one online that we could print was valued at $39.  the book itself was much less expensive than what we saved today at the zoo alone!

while the layout of the zoo and aquarium made sense and were easy to navigate, there were many animals that you could find in multiple places within the park.  the park itself also can use some renovations, which hopefully it will get all in good time.  while we've never been at this zoo on a weekend, i trust that there are many more people there along with most of the rides being open.  if you haven't been to this zoo before, i definitely recommend it!"
984,"these guys are not only fast ( i had to have a hole dug in my kitchen because of pipe) i never thought the repairs would work (old house) let alone be so fast, and tidy. truth is, i always switched plumbers due to bad experiences, finally i have a plumbing company that actually helps you and does the job. as a woman dealing with contractors you normally figure they are going to bs you - not these guys they actually help you. and go out of their way to get the job done affordably. i cannot thank them enough for making a stressful situation easy"
985,"update--- justin sent new repair men who completed an excellent job fixing the previous mistakes and now everything looks new again, if i didn't know there was damage, i wouldn't be able to find it.  the stucco repair man was very professional, i would use him again.  thank you justin for correcting this issue!"
986,"i got a quote for my repair within just a few minutes - they were able to show up same day and fix my ac on the spot. friendly guys, and they offer a warranty on the work they do, too. pretty nice to have the repair come to you. would use them again."
987,"excellent contractor. worked on a work order from fidelity home warranty's ticket. the papworth folks were quick to respond, pleasant, prompt, and knowledgeable on the repair."
988,ralph and his crew did an amazing job at our new home is east mesa. they were very affordable and professional. they fixed all drywall holes left from previous homeowners and repaired all holes from existing curtains and window covers. i would recommend ralph and his crew to anyone looking for honest price with quality work.
989,best place in town for pro audio repair. fast and affordable. my amp sounds great thanks to buzz!
990,fernando was professional and knowledgeable. he arrived on time and quickly assessed the problem. he explained all of the steps necessary to do the repair before he did the work. we would definitely use this company again!
991,"i can't say enough good things about cool guys. no one ever wants or expects their ac to go out, but when it did, cool guys handled it exactly as you would hope an ac company would. quick to see my parents in the hottest of vegas temps, clear communication, simple billing and didn't overcharge or do repairs that weren't necessary.

locally owned and operated, there's no one else you should call!"
992,"called jerry to replace ceramic tiles on ledge in front of window that had been replaced.  he directed the job to darren.  darren found that the job was more extensive than previously thought - he showed me all sub areas that had to be replaced.  darren was courteous and efficient.  he left the area perfectly clean.  one minor problem surfaced after a few weeks.  it was repaired properly at no additional cost.  throughout this job, jerry has always promptly returned my calls or texts.  he stands behind his work.   will use him again."
993,"zac was professional and explained the repair he did on my system. the repair was quick, professional and the charge was reasonable. i would definitely hire again for any needed repairs!"
994,mohave a/c saves the day again! thank you cecil for the quick repair of our a/c. this is the best a/c company i have used in the past 3 yrs.  and they work with most home warrenty companies.  i would highly recommend this company to everyone
995,"i've been a guest at the hothouse for over 20 years. i am a fan to say the least. there are new developments happening as we can see with the renovations. with the state of the hospitality industry in toronto as well as intentionally i hope that the hothouse continue to make good decisions.
i look forward to the next 20 years and to being a bigger fan. love that sticky toffee pudding! keep up the great work!"
996,"my ac unit went out in the middle of summer, i called and they were able to get out to me within 2 hours of my call and got everything fixed for me quickly. would definitely recommend to folks and would call again if i need any repairs."
997,pleasure to work with. called freddy 2pm . he was at my house to repair the water control valve by 4pm. the work was done accurately and efficiently. he offered free advise on future maintaince. highly recommended.  will not hesitate to use again.
998,the greens keeper and crew at the foothills are doing a great job to get this course in shape!  the greens are under repair in a few spots but overall are in good shape..  the fairways are greener and getting better!  i live on this course and like to  play here.   time and effort for continuous improvement are in place !
999,"great repair work.  a bit pricey, but worth it.  cash only could be an issue"
1000,"jesus was amazing! i really appreciated his quick response to my need for a quote. he understood what i was trying to do and was very creative with what we had to work with. i appreciated his integrity and it is clear, he loves what he does! 
i needed some light irrigation repairs in my front yard, moved some plants around and rearranged my walkway. he got it all done in record time and was super easy to work with!!! i will definitely use him again for my next landscaping project!
i highly recommend him for your landscaping/gardening needs, as he is very knowledgeable and knows how to navigate his way around irrigation systems. thank you jesus!!!"
1001,"i recently had some minor damage repaired by distinctive. all aspects of my experience with them were very positive.

they stuck to their quote
they were responsive and informative when asking them questions
they stuck to their schedule
the quality of the work was excellent

they did everything that i expected"
1002,"definitely consider this place my home gym. not as big as some of the other locations, but i can attest to the quality of the equipment and the quality of the new ownership. after the change of owners, the gym went under extensive renovations that resulted in a beautiful homey gym right in the heart of oak ridges. the staff are beyond friendly and the knowledge they dispense, welcome and informative. amazing place! try out their free trial!!!"
